arch,candidate_id,cfg,cfg.K,cfg.M,cfg.N,cfg.allowed_waves_per_eu,cfg.codegen_pipeline,cfg.mma_attr,cfg.padding,cfg.pipeline_options_search_space,cfg.promote_operands,cfg.reduction_tile_sizes,cfg.sg_m_cnt,cfg.sg_n_cnt,cfg.subgroup_size,cfg.subgroup_tile_sizes,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.workgroup_tile_sizes,device,dispatch_id,notes,op_kind,rocm_version,tuner_commit
"('gfx942',)",0,,,,,,,,,,,,,,,,,,,,sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",1,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 32]",1,1,64,"[0, 0, 0]",64,1,1,"[32, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",2,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 64]",2,2,64,"[0, 0, 0]",128,2,1,"[192, 128, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",3,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",2,2,64,"[0, 0, 0]",128,2,1,"[128, 128, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",4,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",2,2,64,"[0, 0, 0]",128,2,1,"[128, 128, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",5,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",2,2,64,"[0, 0, 0]",128,2,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",6,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",2,2,64,"[0, 0, 0]",128,2,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",7,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",4,2,64,"[0, 0, 0]",128,4,1,"[128, 128, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",8,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",4,2,64,"[0, 0, 0]",128,4,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",9,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",4,2,64,"[0, 0, 0]",128,4,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",10,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",1,2,64,"[0, 0, 0]",128,1,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",11,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",1,2,64,"[0, 0, 0]",128,1,1,"[128, 64, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",12,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",2,1,64,"[0, 0, 0]",64,2,1,"[128, 32, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
"('gfx942',)",13,,8192,4096,4096,[2],LLVMGPUVectorDistribute,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])","[0, 1]","[0, 0, 128]",1,1,64,"[0, 0, 0]",64,1,1,"[128, 32, 0]",sharkmi300x-4::['hip://0'],"('compute_gemm_4096_4096_8192_f16_f32_tA',)","('',)",contraction,"('',)","('',)"
