dispatch_id,shuffle_min_search_space_#,heuristic_min_search_space_#,candidate_num,shuffle_min_search_space_%,heuristic_min_search_space_%,shuffle_avg,heuristic_avg,shuffle_gmean,heuristic_gmean
square_gemm_1024_1024_1024_f16_f32_tB,1256,50,1443,0.87041,0.03465,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_10240_1280_f32_f32_tB,39,32,609,0.06404,0.05255,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_10240_1280_f8E4M3FNUZ_f32_tB,629,148,1645,0.38237,0.08997,0.26514,0.11353,0.13098,0.04779
square_gemm_8192_8192_8192_f16_f32_tB,160,183,1443,0.11088,0.12682,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_5120_i8_i32_tB,926,45,1485,0.62357,0.0303,0.26514,0.11353,0.13098,0.04779
square_gemm_4096_4096_4096_f8E4M3FNUZ_f32_tB,531,382,967,0.54912,0.39504,0.26514,0.11353,0.13098,0.04779
compute_gemm_4096_4096_8192_f32_f32_tB,18,16,373,0.04826,0.0429,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_1280_f8E4M3FNUZ_f32_tB,701,113,1465,0.4785,0.07713,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_10240_1280_f16_f32_tB,774,117,2048,0.37793,0.05713,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_5120_f16_f32_tB,73,1,2048,0.03564,0.00049,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_5120_f16_f32_tB,1968,209,2048,0.96094,0.10205,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_5120_f32_f32_tB,30,7,560,0.05357,0.0125,0.26514,0.11353,0.13098,0.04779
square_gemm_2048_2048_2048_f32_f32_tB,94,4,373,0.25201,0.01072,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_10240_1280_f8E4M3FNUZ_f32_tB,63,148,1645,0.0383,0.08997,0.26514,0.11353,0.13098,0.04779
square_gemm_4096_4096_4096_f32_f32_tB,42,16,373,0.1126,0.0429,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_5120_f16_f32_tB,72,7,2048,0.03516,0.00342,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_10240_1280_f32_f32_tB,393,3,609,0.64532,0.00493,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_1280_i8_i32_tB,653,612,1465,0.44573,0.41775,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_10240_1280_f8E4M3FNUZ_f32_tB,4,101,1645,0.00243,0.0614,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_1280_i8_i32_tB,1167,739,1465,0.79659,0.50444,0.26514,0.11353,0.13098,0.04779
square_gemm_8192_8192_8192_i8_i32_tB,430,140,967,0.44467,0.14478,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_5120_f32_f32_tB,44,10,560,0.07857,0.01786,0.26514,0.11353,0.13098,0.04779
square_gemm_1024_1024_1024_i8_i32_tB,153,64,967,0.15822,0.06618,0.26514,0.11353,0.13098,0.04779
compute_gemm_4096_4096_8192_f8E4M3FNUZ_f32_tB,291,124,967,0.30093,0.12823,0.26514,0.11353,0.13098,0.04779
square_gemm_1024_1024_1024_f8E4M3FNUZ_f32_tB,124,27,967,0.12823,0.02792,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_1280_f16_f32_tB,1261,51,2048,0.61572,0.0249,0.26514,0.11353,0.13098,0.04779
square_gemm_4096_4096_4096_i8_i32_tB,109,82,967,0.11272,0.0848,0.26514,0.11353,0.13098,0.04779
square_gemm_2048_2048_2048_i8_i32_tB,759,892,967,0.7849,0.92244,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_10240_1280_f16_f32_tB,216,226,2048,0.10547,0.11035,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_5120_f8E4M3FNUZ_f32_tB,555,30,1485,0.37374,0.0202,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_1280_f32_f32_tB,162,3,560,0.28929,0.00536,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_1280_f32_f32_tB,56,1,560,0.1,0.00179,0.26514,0.11353,0.13098,0.04779
square_gemm_8192_8192_8192_f8E4M3FNUZ_f32_tB,537,165,967,0.55533,0.17063,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_5120_i8_i32_tB,34,8,1485,0.0229,0.00539,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_10240_1280_i8_i32_tB,145,147,1645,0.08815,0.08936,0.26514,0.11353,0.13098,0.04779
square_gemm_8192_8192_8192_f32_f32_tB,2,52,373,0.00536,0.13941,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_10240_1280_f32_f32_tB,39,10,609,0.06404,0.01642,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_1280_f16_f32_tB,660,920,2048,0.32227,0.44922,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_5120_f8E4M3FNUZ_f32_tB,669,23,1485,0.45051,0.01549,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_5120_i8_i32_tB,579,62,1485,0.3899,0.04175,0.26514,0.11353,0.13098,0.04779
unet_gemm_1024_1280_5120_f32_f32_tB,147,2,560,0.2625,0.00357,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_1280_f8E4M3FNUZ_f32_tB,86,143,1465,0.0587,0.09761,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_1280_f32_f32_tB,65,16,560,0.11607,0.02857,0.26514,0.11353,0.13098,0.04779
unet_gemm_2048_1280_1280_i8_i32_tB,292,409,1465,0.19932,0.27918,0.26514,0.11353,0.13098,0.04779
tk_gemm_2048_1280_1280_f8E4M3FNUZ_f32_tB,885,47,1465,0.6041,0.03208,0.26514,0.11353,0.13098,0.04779
