dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,m_square,n_square,k_square,m_cube,n_cube,k_cube,num_subgroups_mult4,p_ai,t_ai,intrinsic_ai,mn_ratio
compute_gemm_4096_4096_8192_f32_f32_tB,1,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,32,128,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,2293.33,4870.0,2133.33,2.12355,37.0,232.0,195.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/1_spec.mlir,4096.0,1,0.03759398496240607,1024.0,4096.0,64.0,0.15625,0.018971241985024388,4,1,1,1,0,0,0,0,0,0,0,1638.4,14.222222222222221,2.6666666666666665,0.25
compute_gemm_4096_4096_8192_f32_f32_tB,2,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,512,128,16,64.0,8.0,1.0,8.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,2281.67,2830.0,2133.33,1.24032,35.0,78.0,43.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/2_spec.mlir,256.0,8,0.1578947368421053,8192.0,2048.0,512.0,0.3125,0.00477475632604813,4,1,1,1,0,0,1,1,0,0,1,1638.4,13.837837837837839,2.6666666666666665,0.25
compute_gemm_4096_4096_8192_f32_f32_tB,3,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,64,128,16,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,2261.67,2646.67,2133.33,1.17023,24.0,49.0,25.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/3_spec.mlir,2048.0,2,0.03759398496240607,1024.0,2048.0,128.0,0.09375,0.0036481735788162135,4,1,1,1,1,0,1,1,0,0,0,1638.4,11.636363636363637,2.6666666666666665,0.5
compute_gemm_4096_4096_8192_f32_f32_tB,4,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,128,32,16,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,2261.67,3143.33,2133.33,1.38983,12.0,134.0,122.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/4_spec.mlir,4096.0,2,0.03759398496240607,2048.0,512.0,128.0,0.078125,0.007177886395082853,4,1,1,1,0,0,1,0,0,0,0,1638.4,9.846153846153847,2.6666666666666665,0.25
compute_gemm_4096_4096_8192_f32_f32_tB,5,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,128,128,16,64.0,8.0,1.0,8.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,2293.33,2483.33,2133.33,1.08285,11.0,25.0,14.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/5_spec.mlir,1024.0,8,0.1578947368421053,2048.0,2048.0,512.0,0.125,0.0022436822041104784,4,1,1,1,0,0,1,0,0,0,1,1638.4,12.8,2.6666666666666665,1.0
compute_gemm_4096_4096_8192_f32_f32_tB,6,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,64,32,16,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,2261.67,3730.0,2133.33,1.64923,2.0,182.0,180.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/6_spec.mlir,8192.0,2,0.0019493177387914784,1024.0,512.0,128.0,0.046875,0.011347319475864126,4,1,1,1,1,0,1,1,0,0,0,1638.4,9.142857142857142,2.6666666666666665,0.5
compute_gemm_4096_4096_8192_f32_f32_tB,7,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,128,256,32,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,2293.33,2996.67,2133.33,1.30669,57.0,104.0,47.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/7_spec.mlir,512.0,4,0.1578947368421053,4096.0,8192.0,256.0,0.375,0.005841546123933452,4,1,1,1,0,1,0,0,0,0,1,1638.4,23.272727272727273,2.6666666666666665,0.5
compute_gemm_4096_4096_8192_f32_f32_tB,8,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,64,64,64,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,2281.67,8683.33,2133.33,3.8057,52.0,293.0,241.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/8_spec.mlir,4096.0,1,0.03759398496240607,4096.0,4096.0,64.0,0.25,0.046009067184855604,4,1,1,1,1,1,1,1,1,1,0,1638.4,21.333333333333332,2.6666666666666665,1.0
compute_gemm_4096_4096_8192_f32_f32_tB,9,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,64,16,128,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,2293.33,6823.33,2133.33,2.97529,29.0,282.0,253.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/9_spec.mlir,16384.0,2,0.0019493177387914784,8192.0,2048.0,128.0,0.3125,0.03266157711310705,4,1,1,1,1,1,0,1,0,0,0,1638.4,11.636363636363637,2.6666666666666665,0.25
compute_gemm_4096_4096_8192_f32_f32_tB,10,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,4.0,32.0,32.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x4_F32>,128,32,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,2281.67,4913.33,2133.33,2.1534,39.0,235.0,196.0,8.0,96.77,,tuning_2025_09_29_16_45/candidates/specs/10_spec.mlir,4096.0,1,0.03759398496240607,4096.0,1024.0,64.0,0.15625,0.019451032183410363,4,1,1,1,0,0,0,0,0,0,0,1638.4,14.222222222222221,2.6666666666666665,0.25
