dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,num_subgroups_mult4,mnk_cube,p_ai,t_ai,intrinsic_ai,mn_ratio,closeness_to_cube_volume
compute_gemm_4096_4096_8192_i8_i32_tB,1,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,256,128,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,353.0,401.33,268.0,1.13692,41.0,170.0,129.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/1_spec.mlir,512.0,4,0.1578947368421053,16384.0,32768.0,256.0,1.5,0.003784349238955613,4,1,1,1,1,False,1638.4,51.2,6.4,0.5,21023.0
compute_gemm_4096_4096_8192_i8_i32_tB,2,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,256,32,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,356.33,2063.33,268.0,5.79046,55.0,773.0,718.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/2_spec.mlir,256.0,4,0.1578947368421053,8192.0,8192.0,256.0,0.5,0.049340446601527733,4,1,1,1,1,False,1638.4,25.6,6.4,1.0,0.0
compute_gemm_4096_4096_8192_i8_i32_tB,3,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,32,64,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,353.0,624.33,268.0,1.76865,14.0,425.0,411.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/3_spec.mlir,4096.0,2,0.03759398496240607,8192.0,2048.0,128.0,0.3125,0.009968706392188997,4,1,1,1,0,False,1638.4,18.285714285714285,6.4,0.25,0.0
compute_gemm_4096_4096_8192_i8_i32_tB,4,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,32,128,128,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,353.0,414.0,268.0,1.1728,11.0,192.0,181.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/4_spec.mlir,4096.0,4,0.03759398496240607,4096.0,16384.0,256.0,0.625,0.004135598561701113,4,1,1,1,1,False,1638.4,21.333333333333332,6.4,0.25,7153.0
compute_gemm_4096_4096_8192_i8_i32_tB,5,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,32,64,128,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,355.5,478.33,268.0,1.34552,15.0,263.0,248.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/5_spec.mlir,8192.0,1,0.0019493177387914784,4096.0,8192.0,64.0,0.375,0.005826450931394605,4,1,1,1,0,False,1638.4,18.285714285714285,8.0,0.5,0.0
compute_gemm_4096_4096_8192_i8_i32_tB,6,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,128,64,32,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,357.17,706.67,268.0,1.97853,13.0,487.0,474.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/6_spec.mlir,2048.0,4,0.03759398496240607,4096.0,2048.0,256.0,0.1875,0.012023338718215343,4,1,1,1,1,False,1638.4,18.285714285714285,8.0,0.5,0.0
compute_gemm_4096_4096_8192_i8_i32_tB,7,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,512,64,32,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,355.5,975.67,268.0,2.74449,72.0,609.0,537.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/7_spec.mlir,512.0,2,0.1578947368421053,16384.0,2048.0,128.0,0.5625,0.019521748173347505,4,1,1,1,0,False,1638.4,20.48,8.0,0.125,12632.0
compute_gemm_4096_4096_8192_i8_i32_tB,8,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,512,256,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,356.33,2416.67,268.0,6.78204,59.0,785.0,726.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/8_spec.mlir,128.0,8,0.5789473684210527,32768.0,16384.0,512.0,1.5,0.059047576017580726,4,1,1,1,1,False,1638.4,46.54545454545455,6.4,0.5,23181.0
compute_gemm_4096_4096_8192_i8_i32_tB,9,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,64,256,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,353.0,4073.33,268.0,11.53919,53.0,814.0,761.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/9_spec.mlir,1024.0,1,0.1578947368421053,2048.0,8192.0,64.0,0.3125,0.10561796943170416,4,1,1,1,0,False,1638.4,19.692307692307693,8.0,0.25,7153.0
compute_gemm_4096_4096_8192_i8_i32_tB,10,contraction,sharkmi300x-4,gfx942,4096.0,4096.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,64,256,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,355.5,844.33,268.0,2.37506,76.0,557.0,481.0,17.0,295.41,,tuning_2025_09_29_16_50/candidates/specs/10_spec.mlir,2048.0,1,0.03759398496240607,32768.0,16384.0,64.0,1.5,0.015905191949772548,4,1,1,1,0,False,1638.4,36.57142857142857,6.4,0.5,0.0
