dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,m_square,n_square,k_square,m_cube,n_cube,k_cube,num_subgroups_mult4,p_ai,t_ai,intrinsic_ai,mn_ratio
square_gemm_512_512_512_f16_f32_tB,1,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,512,128,32,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,50.0,82.33,45.33,1.64667,86.0,616.0,530.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/1_spec.mlir,4.0,4,0.9868421052631579,16384.0,4096.0,256.0,0.625,0.011481729455877662,3,1,1,1,0,0,0,1,0,0,1,170.66666666666666,24.38095238095238,5.333333333333333,0.25
square_gemm_512_512_512_f16_f32_tB,2,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,32,64,256,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,50.0,58.0,45.33,1.16,19.0,363.0,344.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/2_spec.mlir,128.0,2,0.5789473684210527,8192.0,16384.0,128.0,0.75,0.004844898714622961,0,1,1,1,0,1,1,0,1,0,0,170.66666666666666,19.692307692307693,5.333333333333333,0.5
square_gemm_512_512_512_f16_f32_tB,3,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,64,128,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,50.0,57.33,45.33,1.14667,7.0,338.0,331.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/3_spec.mlir,32.0,8,0.8947368421052632,4096.0,8192.0,512.0,0.375,0.004663114438253092,0,1,1,1,1,0,1,1,0,1,1,170.66666666666666,25.6,5.333333333333333,0.5
square_gemm_512_512_512_f16_f32_tB,4,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,128,128,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,50.0,54.0,45.33,1.08,13.0,239.0,226.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/4_spec.mlir,16.0,8,0.9473684210526316,8192.0,8192.0,512.0,0.5,0.0037539203118030326,0,1,1,1,0,0,1,0,0,1,1,170.66666666666666,32.0,5.333333333333333,1.0
square_gemm_512_512_512_f16_f32_tB,5,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,128,128,128,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,56.33,102.67,45.33,1.82249,22.0,624.0,602.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/5_spec.mlir,16.0,8,0.9473684210526316,16384.0,16384.0,512.0,1.0,0.013879427240675164,0,1,1,1,0,0,0,0,0,0,1,170.66666666666666,42.666666666666664,5.333333333333333,1.0
square_gemm_512_512_512_f16_f32_tB,6,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,128,128,128,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_21_52/candidates/specs/6_spec.mlir,16.0,8,0.9473684210526316,16384.0,16384.0,512.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,1,170.66666666666666,42.666666666666664,6.4,1.0
square_gemm_512_512_512_f16_f32_tB,7,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,128,64,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_21_52/candidates/specs/7_spec.mlir,32.0,4,0.8947368421052632,16384.0,8192.0,256.0,0.75,1.0,1,1,1,1,0,1,0,0,1,0,1,170.66666666666666,32.0,6.4,0.5
square_gemm_512_512_512_f16_f32_tB,8,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,128,64,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,50.0,60.0,45.33,1.2,29.0,418.0,389.0,546.0,244.3,,tuning_2025_09_23_21_52/candidates/specs/8_spec.mlir,32.0,4,0.8947368421052632,16384.0,8192.0,256.0,0.75,0.005390387916032928,0,1,1,1,0,1,0,0,1,0,1,170.66666666666666,32.0,5.333333333333333,0.5
square_gemm_512_512_512_f16_f32_tB,9,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,128,32,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_21_52/candidates/specs/9_spec.mlir,64.0,4,0.7894736842105263,16384.0,4096.0,256.0,0.625,1.0,1,1,1,1,0,0,0,0,0,0,1,170.66666666666666,21.333333333333332,6.4,0.25
square_gemm_512_512_512_f16_f32_tB,10,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,128,16,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_23_21_52/candidates/specs/10_spec.mlir,128.0,4,0.5789473684210527,16384.0,2048.0,256.0,0.5625,1.0,1,1,1,1,0,1,0,0,0,0,1,170.66666666666666,12.8,6.4,0.125
