dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,m_square,n_square,k_square,m_cube,n_cube,k_cube,num_subgroups_mult4,p_ai,t_ai,intrinsic_ai,mn_ratio
square_gemm_512_512_512_i8_i32_tB,1,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,512,32,64,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,55.0,58.33,35.0,1.06061,23.0,361.0,338.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/1_spec.mlir,16.0,4,0.9473684210526316,32768.0,2048.0,256.0,1.0625,0.010681137936214774,4,1,1,1,0,0,1,1,0,1,1,170.66666666666666,20.48,8.0,0.0625
square_gemm_512_512_512_i8_i32_tB,2,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,16,128,256,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,56.17,49.0,35.0,0.8724,7.0,20.0,13.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/2_spec.mlir,128.0,2,0.5789473684210527,4096.0,32768.0,128.0,1.125,0.005942665405926068,4,1,1,1,1,0,1,0,0,0,0,170.66666666666666,13.473684210526315,6.4,0.125
square_gemm_512_512_512_i8_i32_tB,3,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,64,128,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,56.17,52.67,35.0,0.93769,29.0,87.0,58.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/3_spec.mlir,32.0,1,0.8947368421052632,2048.0,4096.0,64.0,0.1875,0.007586440293033819,4,1,1,1,1,0,0,1,0,0,0,170.66666666666666,18.285714285714285,8.0,0.5
square_gemm_512_512_512_i8_i32_tB,4,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,32,256,32,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,46.83,49.0,35.0,1.04626,5.0,341.0,336.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/4_spec.mlir,32.0,4,0.8947368421052632,1024.0,8192.0,256.0,0.28125,0.01031985489700515,4,1,1,1,0,1,0,0,0,0,1,170.66666666666666,15.058823529411764,6.4,0.125
square_gemm_512_512_512_i8_i32_tB,5,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,16,64,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,46.83,54.33,35.0,1.16014,9.0,553.0,544.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/5_spec.mlir,64.0,2,0.7894736842105263,16384.0,1024.0,128.0,0.53125,0.01318695681374325,4,1,1,1,1,1,1,0,0,1,0,170.66666666666666,12.19047619047619,6.4,0.0625
square_gemm_512_512_512_i8_i32_tB,6,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,512,256,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,55.0,171.0,35.0,3.10909,69.0,798.0,729.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/6_spec.mlir,2.0,8,0.993421052631579,32768.0,16384.0,512.0,1.5,0.062254732372460486,4,1,1,1,0,1,1,1,0,1,1,170.66666666666666,46.54545454545455,6.4,0.5
square_gemm_512_512_512_i8_i32_tB,7,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,512,256,32,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,52.17,179.0,35.0,3.43131,64.0,806.0,742.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/7_spec.mlir,2.0,8,0.993421052631579,16384.0,8192.0,512.0,0.75,0.07036711013511723,4,1,1,1,0,1,0,1,0,0,1,170.66666666666666,26.94736842105263,8.0,0.5
square_gemm_512_512_512_i8_i32_tB,8,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,64,128,256,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,55.0,51.0,35.0,0.92727,15.0,74.0,59.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/8_spec.mlir,32.0,4,0.8947368421052632,16384.0,32768.0,256.0,1.5,0.007324100971182652,4,1,1,1,1,0,1,1,0,0,1,170.66666666666666,36.57142857142857,6.4,0.5
square_gemm_512_512_512_i8_i32_tB,9,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,32,64,128,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,52.17,50.67,35.0,0.97125,10.0,156.0,146.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/9_spec.mlir,128.0,2,0.5789473684210527,4096.0,8192.0,128.0,0.375,0.008431364250934506,4,1,1,1,0,1,0,0,1,0,0,170.66666666666666,18.285714285714285,6.4,0.5
square_gemm_512_512_512_i8_i32_tB,10,contraction,sharkmi300x-4,gfx942,512.0,512.0,512.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,256,64,128,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,46.83,53.67,35.0,1.14591,54.0,529.0,475.0,508.0,277.15,,tuning_2025_09_29_19_41/candidates/specs/10_spec.mlir,16.0,2,0.9473684210526316,32768.0,8192.0,128.0,1.25,0.012828694956743047,4,1,1,1,1,1,0,0,1,0,0,170.66666666666666,36.57142857142857,8.0,0.25
