dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,num_subgroups_mult4,mnk_cube,p_ai,t_ai,intrinsic_ai,mn_ratio,closeness_to_cube_volume
square_gemm_8192_8192_8192_i8_i32_tB,1,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,128,64,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,1391.67,23866.67,911.67,17.1497,214.0,842.0,628.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/1_spec.mlir,2048.0,1,0.03759398496240607,16384.0,8192.0,64.0,0.75,0.3109210745747363,4,1,1,1,0,False,2730.6666666666665,36.57142857142857,6.4,0.5,0.0
square_gemm_8192_8192_8192_i8_i32_tB,2,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,64,256,128,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,1391.67,1416.67,911.67,1.01796,12.0,156.0,144.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/2_spec.mlir,4096.0,8,0.03759398496240607,8192.0,32768.0,512.0,1.25,0.006796535135893416,4,1,1,1,1,False,2730.6666666666665,36.57142857142857,6.4,0.25,0.0
square_gemm_8192_8192_8192_i8_i32_tB,3,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,16,128,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,1391.67,3093.33,911.67,2.22275,3.0,530.0,527.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/3_spec.mlir,32768.0,4,0.0019493177387914784,16384.0,2048.0,256.0,0.5625,0.02950990665505524,4,1,1,1,1,False,2730.6666666666665,12.8,6.4,0.125,0.0
square_gemm_8192_8192_8192_i8_i32_tB,4,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,64,256,64,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,1391.67,1236.67,911.67,0.88862,16.0,95.0,79.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/4_spec.mlir,4096.0,4,0.03759398496240607,4096.0,16384.0,256.0,0.625,0.004358145481025439,4,1,1,1,1,False,2730.6666666666665,28.444444444444443,6.4,0.25,12632.0
square_gemm_8192_8192_8192_i8_i32_tB,5,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,256,32,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,1391.67,31933.33,911.67,22.94611,138.0,890.0,752.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/5_spec.mlir,1024.0,2,0.1578947368421053,8192.0,8192.0,128.0,0.5,0.4201982214695352,4,1,1,1,0,False,2730.6666666666665,25.6,6.4,1.0,0.0
square_gemm_8192_8192_8192_i8_i32_tB,6,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,128,512,32,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,1400.0,1550.0,911.67,1.10714,29.0,219.0,190.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/6_spec.mlir,1024.0,8,0.1578947368421053,4096.0,16384.0,512.0,0.625,0.00847780612260384,4,1,1,1,1,False,2730.6666666666665,24.38095238095238,8.0,0.25,0.0
square_gemm_8192_8192_8192_i8_i32_tB,7,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,128,256,64,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,1386.67,928.0,911.67,0.66923,19.0,2.0,17.0,890.0,283.98,292.2,tuning_2025_09_29_20_17/candidates/specs/7_spec.mlir,2048.0,8,0.03759398496240607,8192.0,16384.0,512.0,0.75,0.0002220831153111551,4,1,1,1,1,False,2730.6666666666665,36.57142857142857,8.0,0.5,0.0
square_gemm_8192_8192_8192_i8_i32_tB,8,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,256,32,256.0,2.0,1.0,2.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,1391.67,1430.0,911.67,1.02754,18.0,166.0,148.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/8_spec.mlir,2048.0,8,0.03759398496240607,4096.0,8192.0,512.0,0.375,0.00697714262695291,4,1,1,1,1,False,2730.6666666666665,23.272727272727273,6.4,0.5,12632.0
square_gemm_8192_8192_8192_i8_i32_tB,9,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,128,32,128.0,4.0,1.0,4.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,1400.0,1853.33,911.67,1.32381,1.0,287.0,286.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/9_spec.mlir,4096.0,8,0.03759398496240607,4096.0,4096.0,512.0,0.25,0.012562589534697891,4,1,1,1,1,False,2730.6666666666665,21.333333333333332,6.4,1.0,7153.0
square_gemm_8192_8192_8192_i8_i32_tB,10,contraction,sharkmi300x-4,gfx942,8192.0,8192.0,8192.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,512,256,32,256.0,2.0,1.0,2.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,1391.67,4846.67,911.67,3.48263,50.0,684.0,634.0,890.0,283.98,,tuning_2025_09_29_20_17/candidates/specs/10_spec.mlir,512.0,8,0.1578947368421053,16384.0,8192.0,512.0,0.75,0.053261865510591554,4,1,1,1,1,False,2730.6666666666665,26.94736842105263,6.4,0.5,21023.0
