dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map
unet_gemm_1024_1280_1280_f16_f32_tB,1,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x16_F16>,16.0,256.0,80.0,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_24_17_12/candidates/specs/1_spec.mlir,320.0,1.0,0.4736842105263158,1280.0,20480.0,64.0,0.6640625,1.0,0
unet_gemm_1024_1280_1280_f16_f32_tB,2,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,16.0,32.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F16>,32.0,128.0,32.0,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_24_17_12/candidates/specs/2_spec.mlir,320.0,4.0,0.4736842105263158,1024.0,4096.0,256.0,0.15625,1.0,1
unet_gemm_1024_1280_1280_f16_f32_tB,3,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,64.0,128.0,32.0,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,76.0,76.67,55.67,1.00877,2.0,262.0,260.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/3_spec.mlir,160.0,4.0,0.4736842105263158,2048.0,4096.0,256.0,0.1875,0.0036867465617316025,3
unet_gemm_1024_1280_1280_f16_f32_tB,4,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,128.0,256.0,32.0,256.0,2.0,1.0,2.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,76.0,98.33,55.67,1.29386,5.0,505.0,500.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/4_spec.mlir,40.0,8.0,0.868421052631579,4096.0,8192.0,512.0,0.375,0.007425823677647871,3
unet_gemm_1024_1280_1280_f16_f32_tB,5,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,512.0,256.0,32.0,256.0,2.0,1.0,2.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,76.0,980.0,55.67,12.89474,21.0,788.0,767.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/5_spec.mlir,10.0,8.0,0.9671052631578947,16384.0,8192.0,512.0,0.75,0.15957631977533882,3
unet_gemm_1024_1280_1280_f16_f32_tB,6,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,512.0,256.0,32.0,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,76.5,2523.33,55.67,32.98475,70.0,842.0,772.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/6_spec.mlir,10.0,4.0,0.9671052631578947,16384.0,8192.0,256.0,0.75,0.42306538164888385,3
unet_gemm_1024_1280_1280_f16_f32_tB,7,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,256.0,256.0,32.0,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,76.0,127.33,55.67,1.67544,23.0,655.0,632.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/7_spec.mlir,20.0,4.0,0.9342105263157895,8192.0,8192.0,256.0,0.5,0.012430408355789263,3
unet_gemm_1024_1280_1280_f16_f32_tB,8,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,64.0,256.0,32.0,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,76.5,91.33,55.67,1.1939,6.0,424.0,418.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/8_spec.mlir,80.0,4.0,0.736842105263158,2048.0,8192.0,256.0,0.3125,0.006114805583337336,3
unet_gemm_1024_1280_1280_f16_f32_tB,9,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,128.0,256.0,32.0,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,76.0,103.33,55.67,1.35965,11.0,549.0,538.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/9_spec.mlir,40.0,4.0,0.868421052631579,4096.0,8192.0,256.0,0.375,0.0082886876274747,3
unet_gemm_1024_1280_1280_f16_f32_tB,10,contraction,sharkmi300x-4,gfx942,1024.0,1280.0,1280.0,64.0,32.0,8.0,16.0,16.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x8_F16>,32.0,256.0,32.0,256.0,1.0,1.0,1.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,76.5,86.0,55.67,1.12418,1.0,359.0,358.0,360.0,261.7,,tuning_2025_09_24_17_12/candidates/specs/10_spec.mlir,160.0,4.0,0.4736842105263158,1024.0,8192.0,256.0,0.28125,0.005200398004952678,3
