dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,num_subgroups_mult4,mnk_cube,p_ai,t_ai,intrinsic_ai,mn_ratio,closeness_to_cube_volume
unet_gemm_4096_640_2560_i8_i32_tB,1,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,128,64,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,77.0,97.0,61.33,1.25974,35.0,352.0,317.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/1_spec.mlir,80.0,4,0.736842105263158,16384.0,8192.0,256.0,0.75,0.003769827990257874,4,1,1,1,1,False,455.1111111111111,36.57142857142857,6.4,0.5,0.0
unet_gemm_4096_640_2560_i8_i32_tB,2,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,32,320,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,72.33,131.0,61.33,1.81106,42.0,630.0,588.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/2_spec.mlir,256.0,1,0.1578947368421053,1024.0,10240.0,64.0,0.34375,0.008159971135010885,4,1,0,1,0,False,455.1111111111111,15.238095238095237,6.4,0.1,829.0
unet_gemm_4096_640_2560_i8_i32_tB,3,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,128,128,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,78.0,810.33,61.33,10.38889,240.0,752.0,512.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/3_spec.mlir,80.0,1,0.736842105263158,32768.0,16384.0,64.0,1.5,0.07646495113094197,4,1,1,1,0,False,455.1111111111111,51.2,6.4,0.5,21023.0
unet_gemm_4096_640_2560_i8_i32_tB,4,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,64,320,64,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,72.33,87.33,61.33,1.20737,22.0,283.0,261.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/4_spec.mlir,128.0,4,0.5789473684210527,4096.0,20480.0,256.0,0.75,0.0033528073915298842,4,1,0,1,1,False,455.1111111111111,29.09090909090909,6.4,0.2,15691.0
unet_gemm_4096_640_2560_i8_i32_tB,5,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,128,160,64,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,77.0,88.0,61.33,1.14286,39.0,203.0,164.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/5_spec.mlir,128.0,2,0.5789473684210527,8192.0,10240.0,128.0,0.5625,0.0028391163694954625,4,1,0,1,0,False,455.1111111111111,33.68421052631579,6.4,0.8,15691.0
unet_gemm_4096_640_2560_i8_i32_tB,6,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,256,32,160,64.0,8.0,1.0,8.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_16_28/candidates/specs/6_spec.mlir,320.0,8,0.4736842105263158,40960.0,5120.0,512.0,1.40625,1.0,4,1,1,0,1,False,455.1111111111111,24.150943396226417,6.4,0.125,15691.0
unet_gemm_4096_640_2560_i8_i32_tB,7,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,128,320,64,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,74.0,94.67,61.33,1.27928,40.0,377.0,337.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/7_spec.mlir,64.0,4,0.7894736842105263,8192.0,20480.0,256.0,0.875,0.00392542437175768,4,1,0,1,1,False,455.1111111111111,37.64705882352941,8.0,0.4,6632.0
unet_gemm_4096_640_2560_i8_i32_tB,8,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_16x16x32_I8>,32,128,32,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,77.0,105.67,61.33,1.37229,2.0,449.0,447.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/8_spec.mlir,640.0,2,0.29824561403508776,1024.0,4096.0,128.0,0.15625,0.004666059962509835,4,1,1,1,0,False,455.1111111111111,14.222222222222221,6.4,0.25,1579.0
unet_gemm_4096_640_2560_i8_i32_tB,9,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,128,32,32,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,72.33,97.67,61.33,1.35023,11.0,433.0,422.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/9_spec.mlir,640.0,1,0.29824561403508776,4096.0,1024.0,64.0,0.15625,0.004490396903354986,4,1,1,1,0,False,455.1111111111111,14.222222222222221,8.0,0.25,1579.0
unet_gemm_4096_640_2560_i8_i32_tB,10,contraction,sharkmi300x-4,gfx942,4096.0,640.0,2560.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_I32_32x32x16_I8>,64,64,256,64.0,2.0,1.0,2.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,72.33,87.67,61.33,1.21198,14.0,290.0,276.0,102.0,241.82,,tuning_2025_09_30_16_28/candidates/specs/10_spec.mlir,640.0,2,0.29824561403508776,16384.0,16384.0,128.0,1.0,0.0033895166708908927,4,1,1,1,0,False,455.1111111111111,28.444444444444443,8.0,1.0,12632.0
