dispatch_id,candidate_id,op_kind,device,arch,cfg.M,cfg.N,cfg.K,cfg.subgroup_size,cfg.intrinsic_mn,cfg.intrinsic_k,cfg.lhs_type_bitwidth,cfg.rhs_type_bitwidth,cfg.subgroup_tile_m,cfg.subgroup_tile_n,cfg.subgroup_tile_k,cfg.promote_operands,cfg.codegen_pipeline,cfg.pipeline_options_search_space,cfg.allowed_waves_per_eu,cfg.padding,cfg.mma_attr,cfg.m,cfg.n,cfg.k,cfg.wg_x,cfg.wg_y,cfg.wg_z,cfg.sg_m_cnt,cfg.sg_n_cnt,compile_flags,compile_order_in_list,compile_status,benchmark_flags,to_benchmark,benchmark_device_id,benchmark_status,baseline_benchmark_time_ms,benchmark_time_ms,benchmark_optimal_time_ms,benchmark_speedup,benchmark_order_in_list,benchmark_result_order,benchmark_start_order_vs_result,benchmark_optimal_start_order,benchmark_avg_order_diff,benchmark_avg_top10_order_diff,candidate_spec_mlir,cfg.WG,cfg.num_subgroups,cfg.quantization_inefficiency,cfg.lhs_tile_size,cfg.rhs_tile_size,cfg.flat_wg_size,cfg.lds_utilization,norm_speedup,cfg.mma_attr_map,m_pow2,n_pow2,k_pow2,m_square,n_square,k_square,m_cube,n_cube,k_cube,num_subgroups_mult4,p_ai,t_ai,intrinsic_ai,mn_ratio
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,1,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,128,16,320,64.0,1.0,1.0,1.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",1,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_17_39/candidates/specs/1_spec.mlir,20480.0,1,0.009287925696594482,40960.0,5120.0,64.0,1.40625,1.0,4,1,1,0,0,1,0,0,0,0,0,531.9480519480519,13.617021276595745,6.4,0.125
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,2,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,256,320,64,256.0,2.0,1.0,2.0,4.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",2,False,"['--input=1', '--benchmark_repetitions=3']",False,,False,,,,,,,,,,,tuning_2025_09_30_17_39/candidates/specs/2_spec.mlir,512.0,8,0.1578947368421053,16384.0,20480.0,512.0,1.125,1.0,4,1,0,1,1,0,1,0,0,1,1,531.9480519480519,44.13793103448276,6.4,0.8
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,3,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,128,320,128,128.0,2.0,1.0,2.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",3,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,123.5,122.0,108.0,0.98785,47.0,90.0,43.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/3_spec.mlir,1024.0,4,0.1578947368421053,16384.0,40960.0,256.0,1.75,0.0031758482890594294,4,1,0,1,0,0,0,0,0,0,1,531.9480519480519,53.333333333333336,6.4,0.4
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,4,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,512,64,64,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",4,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://2,True,120.0,168.67,108.0,1.40556,30.0,592.0,562.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/4_spec.mlir,1280.0,4,0.1578947368421053,32768.0,4096.0,256.0,1.125,0.013691770515163387,4,1,1,1,0,1,1,1,1,1,1,531.9480519480519,30.11764705882353,6.4,0.125
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,5,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F8E4M3FNUZ>,128,256,64,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",5,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,125.33,123.0,108.0,0.98138,27.0,80.0,53.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/5_spec.mlir,1280.0,4,0.1578947368421053,8192.0,16384.0,256.0,0.75,0.003012964908716866,4,1,1,1,0,1,1,0,0,1,1,531.9480519480519,36.57142857142857,8.0,0.5
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,6,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,512,128,32,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",6,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,126.5,1050.0,108.0,8.3004,158.0,908.0,750.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/6_spec.mlir,640.0,2,0.29824561403508776,16384.0,4096.0,128.0,0.625,0.18727057207947984,4,1,1,1,0,0,0,1,0,0,0,531.9480519480519,24.38095238095238,6.4,0.25
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,7,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,256,160,32,64.0,8.0,1.0,8.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",7,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,123.5,132.0,108.0,1.06883,16.0,223.0,207.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/7_spec.mlir,1024.0,8,0.1578947368421053,8192.0,5120.0,512.0,0.40625,0.005214533936685529,4,1,0,1,1,0,0,0,0,0,1,531.9480519480519,24.150943396226417,6.4,0.625
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,8,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,128,32,64,128.0,1.0,1.0,1.0,2.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",8,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://6,True,123.5,144.67,108.0,1.17139,9.0,404.0,395.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/8_spec.mlir,10240.0,2,0.009287925696594482,8192.0,2048.0,128.0,0.3125,0.007796499854449581,4,1,1,1,0,0,1,0,0,1,0,531.9480519480519,18.285714285714285,6.4,0.25
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,9,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,32.0,16.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_32x32x16_F8E4M3FNUZ>,64,320,160,320.0,2.0,1.0,2.0,5.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",9,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://5,True,125.33,132.0,108.0,1.05319,12.0,202.0,190.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/9_spec.mlir,2048.0,10,0.03759398496240607,10240.0,51200.0,640.0,1.875,0.0048207942042963955,4,1,0,0,1,0,0,1,0,0,0,531.9480519480519,40.0,8.0,0.2
unet_gemm_8192_5120_640_f8E4M3FNUZ_f32_tB,10,contraction,sharkmi300x-4,gfx942,8192.0,5120.0,640.0,64.0,16.0,32.0,8.0,8.0,0.0,0.0,0.0,"[0, 1]",LLVMGPUVectorDistribute,"PipelineOptionsSearchSpace(prefetch_shared_memory=[True], no_reduce_shared_memory_bank_conflicts=[None], use_igemm_convolution=[None])",[2],,#iree_gpu.mma_layout<MFMA_F32_16x16x32_F8E4M3FNUZ>,64,80,32,64.0,4.0,1.0,4.0,1.0,"['--iree-hal-target-device=hip', '--iree-hip-target=gfx942', '--compile-from=executable-sources']",10,True,"['--input=1', '--benchmark_repetitions=3']",True,hip://7,True,126.5,178.0,108.0,1.40711,4.0,595.0,591.0,172.0,329.22,,tuning_2025_09_30_17_39/candidates/specs/10_spec.mlir,8192.0,4,0.0019493177387914784,2048.0,2560.0,256.0,0.140625,0.013730792035956433,4,1,0,1,1,0,0,1,0,0,1,531.9480519480519,16.842105263157894,6.4,0.8
